Species,Plot No.,Individual No.,Treatment ,CO2 Level,Temperature Level,Drought,Specific Standard Petal Area (SSA) (cm2/g),Specific Wing 1 Petal Area (SW1A) (cm2/g),Specific Wing 2 Petal Area (SW2A) (cm2/g),Specific Keel Petal Area (SKA) (cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Specific Petal Area (SPA) (cm2/g),Petal Mass per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC) (g/g),Specific Leaf Area (SLA) (cm2/g),Leaf Dry Matter Content (LDMC) (g/g),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
Lotus,1,I1,C0T0,0,0,0,459.047384,702.2317392,758.313058,268.2955354,0.002231754,0.00147939,0.001359159,0.004133941,487.143841,0.002110515,0.162949955,213.6711656,0.199754902,,
Lotus,1,I2,C0T0,0,0,0,546.3371792,621.9740909,515.3210011,255.5134398,0.001865709,0.001673093,0.001940538,0.004330119,512.0265544,0.001963247,0.156143293,317.8304196,0.138498789,,
Lotus,8,I1,C2T0,2,0,0,539.6876056,896.5617568,891.3494184,436.8825462,0.001866524,0.001116154,0.001124713,0.00231026,635.9801402,0.001580494,0.143772844,140.9323077,0.278058498,,
Lotus,9,I1,C0T0,0,0,0,623.5010112,882.5818293,879.3553782,418.1252683,0.001655869,0.001167534,0.001196086,0.002398898,662.2513062,0.001553376,0.136206899,330.89375,0.17679558,,
Lotus,9,I2,C0T0,0,0,0,700.8622751,867.9951771,916.8406017,328.2829601,0.001427111,0.001168963,0.001090751,0.003115197,664.3038527,0.001513814,0.144162112,311.51875,0.188976378,,
Lotus,10,I1,C0T2,0,2,0,555.9666901,874.2960675,892.3892616,379.6249094,0.001798681,0.001145925,0.001120748,0.002649127,630.7470026,0.001585494,0.152812143,225.5209877,0.184090909,,
Lotus,10,I2,C0T2,0,2,0,553.9212639,870.9120708,920.7150413,368.728863,0.001805614,0.001148339,0.001089798,0.002720515,633.3371447,0.001578993,0.166418483,188.0046729,0.170653907,,
Lotus,12,I1,C2T2,2,2,0,671.6654529,861.9770935,954.2049323,399.6517348,0.001525952,0.001188139,0.001064183,0.002524462,671.2071171,0.001509166,0.160473683,261.1463064,0.198486644,,
Lotus,13,I1,C0T0,0,0,0,617.046977,843.3960244,859.9982968,343.1340482,0.001635595,0.001197777,0.001180985,0.002914314,613.5051704,0.00164148,0.134169923,314.8717949,0.165254237,,
Lotus,14,I1,C2T0,2,0,0,463.5053501,676.4678805,837.69646,283.786348,0.002171056,0.001481001,0.001216677,0.0035242,500.2806256,0.001998895,0.16009178,229.0738095,0.199052133,,
Lotus,14,I2,C2T0,2,0,0,456.3848697,720.0662561,754.0836078,299.721233,0.002265395,0.001447093,0.001521069,0.00335812,512.9245212,0.002038276,0.168176481,222.7442857,0.193370166,,
Lotus,16,I1,C2T2,2,2,0,660.523019,1083.050575,950.5674969,438.3927812,0.001543304,0.000932472,0.001058051,0.002465352,711.8891197,0.001442526,0.152972736,183.3,0.224390244,,
Lotus,16,I2,C2T2,2,2,0,531.8575377,755.6966481,827.5462829,382.7133862,0.001893544,0.001337097,0.001208496,0.005776079,578.1725373,0.001749262,0.159420948,185.4658333,0.198347107,,
Lotus,19,I1,C0T0,0,0,0,578.6680496,914.5825233,862.6896638,387.5588982,0.001736895,0.00110084,0.001166392,0.002583169,637.9166469,0.001573268,0.155825794,276.9356873,0.152793834,,
Lotus,21,I1,C0T2,0,2,0,562.4017631,932.7026246,897.0485271,321.3171401,0.001778137,0.001073613,0.001137656,0.00311376,596.932163,0.001677321,0.169442694,247.9715014,0.203677785,,
Lotus,22,I1,C0T0,0,0,0,567.0464598,827.6638492,812.1239626,338.5776307,0.001805037,0.001215434,0.001248923,0.003015156,598.8726241,0.001700179,0.174629371,271.7092676,0.189168618,,
Lotus,27,I1,C2T2,2,2,1,459.870934,707.076117,665.5491012,296.5121751,0.002175456,0.001414277,0.001639444,0.003423849,495.0097896,0.002038026,0.173528623,194.919403,0.208074534,,
Lotus,27,I2,C2T2,2,2,1,406.4542911,647.9403104,664.9903101,227.0944059,0.002472402,0.001545663,0.00151149,0.004443788,432.1895657,0.002315077,0.190600775,238.8792453,0.20703125,,
Lotus,28,I1,C0T0,0,0,1,689.4268835,852.8853845,808.4661135,320.3556661,0.001481901,0.001176067,0.001237204,0.003144563,635.2532815,0.001575203,0.13891659,238.8929211,0.213601585,,
Lotus,29,I1,C2T2,2,2,0,659.5083536,738.8607909,578.0295619,347.4194879,0.001564834,0.001380054,0.002167947,0.002937554,571.9277379,0.001825438,0.148161608,237.4366667,0.211401099,,
Lotus,30,I1,C0T0,0,0,0,595.6643964,862.7138534,816.1899077,314.1754821,0.001679252,0.001177145,0.001228563,0.003565867,614.5331493,0.001636458,0.169681951,215.8907882,0.19076087,,
Lotus,34,I1,C2T0,2,0,0,712.9219029,979.157237,983.8575262,410.015282,0.001478803,0.001033559,0.001022588,0.002484534,719.6109613,0.001410267,0.144199008,219.602331,0.218333333,,
Lotus,35,I1,C2T2,2,2,0,544.9669604,695.7361459,704.9137666,398.4637288,0.001838387,0.001604651,0.001727746,0.00315485,558.2748136,0.001902152,0.161879195,210.8635294,0.211909186,,
Lotus,41,I1,C2T0,2,0,0,533.3742634,861.6374043,791.7700535,423.1465625,0.001883562,0.001161098,0.001267012,0.002365841,612.0471374,0.001633886,0.142009511,235.6641026,0.178899083,,
Lotus,41,I2,C2T0,2,0,0,643.4892215,833.8800846,809.3534129,245.1731192,0.001560328,0.001199252,0.00123689,0.004082394,577.1632883,0.001733136,0.166537506,358.1166667,0.155172414,,
Lotus,43,I1,C2T2,2,2,1,607.5217094,1073.410519,702.5375878,372.7174508,0.001720743,0.000966827,0.001579886,0.002691568,633.7820877,0.001637443,0.164549292,167.0114931,0.253162169,,
Lotus,44,I1,C0T0,0,0,1,667.2801701,748.9326735,641.762851,286.95501,0.001508238,0.001339852,0.001596586,0.003493422,564.7335787,0.001770809,0.161702569,247.8519943,0.211414518,,
Lotus,48,I1,C2T2,2,2,1,565.5396744,782.4280309,795.0651959,327.3338602,0.001848774,0.00129113,0.001281311,0.00309113,577.2832319,0.001764849,0.152790381,247.265625,0.215488215,,
Lotus,49,I1,C0T0,0,0,1,535.3352179,742.7442557,634.7638552,302.4962976,0.001906682,0.001356108,0.001594513,0.003343849,528.7470562,0.001910839,0.166044646,159.9413868,0.23762812,,
Lotus,50,I1,C2T2,2,2,1,625.2147535,938.9587182,953.4959074,400.2452648,0.001616878,0.001219475,0.001251896,0.002594299,670.3681034,0.001575922,0.15218554,143.5627907,0.262729124,,
Lotus,50,I2,C2T2,2,2,1,637.6896082,834.718905,837.3118859,350.0201106,0.001576372,0.00122172,0.001201251,0.002912627,625.1898191,0.001615609,0.148272727,212.6542553,0.218604651,,
Lotus,51,I1,C0T2,0,2,0,714.1883766,993.7487936,980.3184681,350.6853373,0.001400506,0.001022428,0.001040387,0.002968842,703.8979933,0.001435414,0.154016183,256.6842105,0.169139466,,
Lotus,51,I2,C0T2,0,2,0,590.2841402,880.4959726,921.2396859,354.3052975,0.001770495,0.001194766,0.001120639,0.003009352,633.0306252,0.001643964,0.162040404,187.0109589,0.17116061,,
Lotus,53,I1,C0T0,0,0,0,598.4478836,898.381096,923.2648357,369.1426442,0.001673873,0.001120892,0.001086137,0.002785986,642.453457,0.001565782,0.158765575,263.3078947,0.176424482,,
Crepis,8,I1,C2T0,2,0,0,,,,,,,,,2108.467967,0.000474278,0.059833333,313.9936709,0.210666667,44,0.00008879
Crepis,8,I2,C2T0,2,0,0,,,,,,,,,994.5596869,0.00100547,0.098269231,408.4161491,0.151886792,42.7,0.00007836
Crepis,9,I1,C0T0,0,0,0,,,,,,,,,1452.959184,0.000688251,0.057647059,663.9605806,0.154417122,42,0.000176429
Crepis,9,I2,C0T0,0,0,0,,,,,,,,,1072.540984,0.000932365,0.106086957,381.138322,0.143648208,27.3,0.00013756
Crepis,10,I1,C0T2,0,2,0,,,,,,,,,1259.407226,0.000795727,0.125476513,345.6398104,0.19009009,18,0.000120926
Crepis,10,I1,C0T2,0,2,0,,,,,,,,,1416.131148,0.000706149,0.127083333,1286.502035,0.138710145,38.33333333,0.000129826
Crepis,10,I1,C0T2,0,2,0,,,,,,,,,1176.184841,0.000872575,0.089961081,459.6060606,0.16779661,30.66666667,0.000111522
Crepis,11,I2,C0T0,0,0,0,,,,,,,,,991.0795455,0.001009001,0.095135135,527.4652778,0.132110092,35,0.00017714
Crepis,12,I1,C2T2,2,2,0,,,,,,,,,717.2322503,0.001394249,0.109342105,330.4852321,0.158,28,0.00014655
Crepis,12,I2,C2T2,2,2,0,,,,,,,,,361.0801964,0.002769468,0.15275,304.5,0.177777778,22.7,0.00013324
Crepis,12,I3,C2T2,2,2,0,,,,,,,,,2003.764172,0.000499061,0.0882,393.2451253,0.156086957,27.7,0.00008988
Crepis,12,I4,C2T2,2,2,0,,,,,,,,,1027.358873,0.001554259,0.116764035,462.240566,0.147222222,25.3,0.00015316
Crepis,14,I1,C2T0,2,0,0,,,,,,,,,2183.237598,0.000458035,0.044534884,1083.124783,0.139894893,34.66666667,0.000122885
Crepis,14,I2,C2T0,2,0,0,,,,,,,,,623.2575068,0.001604473,0.098125,559.3317597,0.102192982,34.7,0.00011202
Crepis,21,I1,C0T2,0,2,0,,,,,,,,,2018.891523,0.000496301,0.101416667,1169.448231,0.171005245,26.66666667,0.000097125
Crepis,22,I1,C0T0,0,0,0,,,,,,,,,1515.106036,0.00066002,0.105689655,458.4913647,0.147674155,31.3,0.00012585
Crepis,22,I2,C0T0,0,0,0,,,,,,,,,1921.71705,0.00052325,0.095625,458.4913647,0.147674155,39.33333333,0.000138714
Crepis,28,I1,C0T0,0,0,1,,,,,,,,,1315.819936,0.000759982,0.088857143,278.2469136,0.162,32.3,0.00010485
Crepis,28,I2,C0T0,0,0,1,,,,,,,,,1003.557772,0.001027434,0.094972463,1080.518737,0.170307206,36,0.000101389
Crepis,35,I1,C2T2,2,2,0,,,,,,,,,674.1634241,0.00148332,0.116818182,297.532548,0.201625,30,0.00013044
Crepis,35,I2,C2T2,2,2,0,,,,,,,,,1037.905366,0.000985809,0.118848432,320.6787632,0.182682003,28.33333333,0.000189529
Crepis,42,I1,C0T2,0,2,0,,,,,,,,,1351.627907,0.000739849,0.083367347,343.1446541,0.154368932,35,0.00015381
Crepis,42,I2,C0T2,0,2,0,,,,,,,,,2172.769231,0.000460242,0.056521739,410.4136253,0.140273038,29.3,0.00022818
Crepis,42,I3,C0T2,0,2,0,,,,,,,,,631.6475973,0.001583161,0.106585366,563.5,0.110843373,46.7,0.00021443
Crepis,42,I4,C0T2,0,2,0,,,,,,,,,1719.853748,0.000581445,0.088225806,371.0800922,0.165215054,26,0.000114103
Crepis,44,I1,C0T0,0,0,1,,,,,,,,,359.7826087,0.002779456,0.184,306.2249561,0.201060071,19.3,0.00010379
Crepis,44,I2,C0T0,0,0,1,,,,,,,,,726,0.00137741,0.114444444,390.9208633,0.159312321,34,0.00015186
Crepis,45,I1,C2T2,2,2,1,,,,,,,,,521.6052818,0.002024818,0.133214706,350.1879699,0.204615385,28.33333333,0.000185059
Crepis,45,I2,C2T2,2,2,1,,,,,,,,,1668.975265,0.00059917,0.07075,335.6197816,0.194625,19,0.00012491
Crepis,47,I1,C0T0,0,0,1,,,,,,,,,873.9759036,0.001144196,0.155625,534.9006231,0.177753831,20.33333333,9.13115E-05
Crepis,47,I2,C0T0,0,0,1,,,,,,,,,2254.962121,0.000443466,0.1056,339.8891312,0.205496942,21,0.000180476
Crepis,49,I1,C0T0,0,0,1,,,,,,,,,619.012016,0.001615478,0.124833333,373.2133333,0.163934426,43,0.00010047
Crepis,49,I2,C0T0,0,0,1,,,,,,,,,786.3971631,0.001315893,0.156666667,316.2315789,0.162393162,22.66666667,0.000124118
Crepis,50,I1,C2T2,2,2,1,,,,,,,,,1008.548387,0.000991524,0.095384615,521.9736842,0.131034483,29,0.00009983
Crepis,50,I2,C2T2,2,2,1,,,,,,,,,1335.261146,0.000748917,0.12265625,615.4969118,0.134924242,19.7,0.00012746
Crepis,51,I1,C0T2,0,2,0,,,,,,,,,902.0838323,0.001108544,0.080288462,575.0617284,0.120895522,34,0.00007029
Crepis,51,I2,C0T2,0,2,0,,,,,,,,,1446.566265,0.000691292,0.057241379,575.0617284,0.120895522,32.7,0.00011112
Crepis,53,I2,C0T0,0,0,0,,,,,,,,,1277.443182,0.000782814,0.117333333,567.5744681,0.138235294,23.00,0.00014507